Area,Predicted Price
7420,7328758.404
8960,1.09E+07
9960,7570635.005
7500,6826742.492
7420,5585135.081
7500,7317160.455
8580,9512059.827
16200,1.15E+07
8100,5842877.414
5750,7039583.813
13200,7587416.634
6000,7469478.011
6550,6466661.291
3500,5310611.118
7800,6751924.063
6000,5046908.443
6600,6485612.933
8500,8081924.133
4600,5539018.964
6420,6228858.739
4320,4221604.983
7155,5975109.34
8050,5103058.95
4560,5523857.65
8800,7130956.907
6540,6462870.962
6000,7134342.024
8875,5415761.046
7950,7185835.554
5500,6068676.805
7475,7693415.468
7000,6302090.083
4880,5833676.442
5960,7265788.415
6840,5553824.313
7000,7513374.867
7482,7163730.159
9000,8459968.837
6000,5923057.24
6000,7322870.306
6550,5066848.225
6360,7270793.848
6480,7316277.789
6000,7322870.306
6000,7322870.306
6000,6602003.484
6000,7134342.024
6600,6150476.946
4300,5425309.111
7440,6083133.7
7440,7680149.319
6325,6046242.914
6000,7322870.306
5150,6812164.107
6000,6069664.945
6000,4858380.161
11440,7108847.112
9000,8459968.837
7680,7959645.483
6000,7134342.024
6000,6069664.945
8880,5229127.928
6240,6349161.109
6360,6926983.59
11175,6287536.587
8880,7161279.534
13200,6866549.813
7700,6181682.239
6000,4326041.621
12090,8566503.244
4000,5311599.258
6000,7322870.306
5020,5551605.053
6600,7173233.448
4040,4115475.787
4260,5598676.079
6420,6761197.279
6500,6791519.906
5700,4212331.768
6000,6602003.484
6000,4858380.161
4000,5311599.258
10500,7242974.201
6000,7134342.024
3760,4009346.591
8250,7454827.382
6670,5644670.705
3960,3552814.62
7410,4860477.931
8580,8635911.03
5000,4479347.317
6750,4421787.972
4800,6679502.612
7200,5992165.818
6000,7322870.306
4100,5881841.082
9000,5463140.152
6400,4477654.759
6600,6829423.19
6000,5579246.982
6600,5764746.111
5500,5201202.278
5500,6944825.602
6350,6734664.98
5500,5347809.983
4500,5354507.974
5450,5517386.623
6420,5549912.494
3240,4533116.334
6600,4553461.327
8372,6289784.605
4300,5990893.957
9620,5698140.515
6800,4440739.614
8000,5084107.308
6900,5878455.964
3700,4175132.903
6420,4485235.415
7020,4712655.122
6540,4530719.357
7231,5324969.591
6254,5822129.03
7320,6758516.58
6525,7333334.267
15600,7964756.919
7160,4765719.72
6500,6791519.906
5500,5201202.278
11460,7460238.026
4800,3871202.209
5828,6046391.873
5200,5087492.425
4800,4935879.288
7000,4705074.465
6000,7134342.024
5400,6030773.521
4640,4531423.775
5000,5011685.857
6360,4462493.445
5800,7058535.455
6660,6508354.904
10500,7963841.023
4800,6524220.636
4700,4554165.746
5000,5544024.396
10500,5843161.135
5500,5880148.523
6360,5527170.524
6600,5953274.393
5136,4530895.784
4400,4440455.893
5400,5008017.019
3300,6257561.051
3650,5178937.762
6100,5575229.69
6900,4667171.18
2817,5051731.686
7980,5076526.651
3150,4457082.801
6210,6191182.419
6100,5428621.985
6600,6485612.933
6825,4638743.717
6710,6338778.264
6450,5707891.185
7800,5008300.74
4600,4818152.142
4260,4387391.295
6540,6462870.962
5500,5347809.983
10269,5944132.83
8400,5768058.985
